 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 22:03:23 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
                               9.296    0.255    0.3561      2.0025  
Adder_PIPE_III[2]              1.255    0.218    0.2745      0.2084  
Immediate_PIPE_II[27]          5.405    0.234    0.0637      0.2083  
Immediate_PIPE_II[28]          5.405    0.234    0.0635      0.2078  
Immediate_PIPE_II[25]          5.405    0.234    0.0634      0.2074  
PIPE_II_RS1[3]                 5.846    0.221    0.0586      0.2072  
Immediate_PIPE_II[15]          5.405    0.243    0.0630      0.2059  
PIPE_II_RS2[4]                 5.846    0.214    0.0581      0.2056  
Immediate_PIPE_II[13]          5.405    0.251    0.0628      0.2053  
Immediate_PIPE_II[17]          5.405    0.244    0.0627      0.2052  
PIPE_II_RS2[2]                 5.846    0.212    0.0580      0.2050  
PIPE_II_RS1[2]                 5.846    0.217    0.0579      0.2049  
PIPE_II_RS2[0]                 5.522    0.217    0.0610      0.2038  
Immediate_PIPE_II[12]          5.405    0.246    0.0622      0.2033  
Immediate_PIPE_II[19]          5.405    0.249    0.0621      0.2031  
PIPE_II_RS1[4]                 5.846    0.221    0.0571      0.2019  
PIPE_II_RS2[3]                 5.846    0.207    0.0566      0.2001  
PIPE_II_RS1[1]                 5.522    0.218    0.0596      0.1990  
PIPE_I_instruction[7]          5.282    0.238    0.0622      0.1986  
PIPE_I_instruction[24]         5.105    0.240    0.0627      0.1938  
PIPE_II_RS1[0]                 5.522    0.214    0.0576      0.1926  
RS1_PIPE_II[3]                 4.895    0.246    0.0645      0.1911  
IF_next_PC_PIPE_I[4]           3.280    0.234    0.0959      0.1903  
PIPE_I_current_PC[5]           8.290    0.148    0.0377      0.1892  
RS2_PIPE_II[3]                 4.895    0.231    0.0634      0.1878  
PIPE_II_RS2[1]                 5.522    0.208    0.0562      0.1878  
Adder2_PIPE_II[6]              3.223    0.241    0.0936      0.1825  
Immediate_PIPE_II[7]           4.637    0.235    0.0645      0.1809  
Immediate_PIPE_II[9]           4.637    0.235    0.0631      0.1769  
Immediate_PIPE_II[31]          4.637    0.234    0.0625      0.1753  
n5                             6.101    0.182    0.0472      0.1743  
Immediate_PIPE_II[10]          4.637    0.234    0.0617      0.1731  
Immediate_PIPE_II[6]           4.637    0.230    0.0610      0.1711  
Adder2_PIPE_II[7]              3.223    0.239    0.0864      0.1685  
PIPE_III_Adder2[3]             1.857    0.197    0.1491      0.1675  
PIPE_II_current_PC[3]          1.857    0.196    0.1437      0.1615  
PIPE_I_instruction[17]         4.247    0.244    0.0623      0.1602  
Adder2_PIPE_II[8]              3.223    0.245    0.0819      0.1596  
Adder2_PIPE_II[9]              3.223    0.236    0.0748      0.1458  
PIPE_II_Funct3[2]              3.998    0.216    0.0588      0.1421  
Adder2_PIPE_II[11]             3.223    0.246    0.0724      0.1411  
PIPE_II_Funct3[1]              4.061    0.223    0.0571      0.1404  
Adder2_PIPE_II[10]             3.223    0.232    0.0694      0.1354  
PIPE_I_next_PC[3]              1.255    0.239    0.1770      0.1344  
Adder2_PIPE_II[16]             3.223    0.247    0.0672      0.1310  
PIPE_I_instruction[28]         3.345    0.250    0.0644      0.1303  
Adder2_PIPE_II[14]             3.223    0.246    0.0665      0.1297  
PIPE_I_instruction[25]         3.345    0.244    0.0640      0.1296  
PIPE_I_instruction[27]         3.345    0.238    0.0636      0.1286  
Adder2_PIPE_II[12]             3.223    0.245    0.0658      0.1283  
Adder2_PIPE_II[13]             3.223    0.250    0.0653      0.1274  
Adder2_PIPE_II[18]             3.223    0.248    0.0652      0.1271  
Adder2_PIPE_II[20]             3.223    0.234    0.0652      0.1271  
Adder2_PIPE_II[15]             3.223    0.244    0.0650      0.1267  
Adder2_PIPE_II[17]             3.223    0.241    0.0649      0.1266  
PIPE_I_instruction[11]         3.229    0.239    0.0642      0.1253  
PIPE_I_instruction[29]         3.345    0.239    0.0619      0.1253  
Adder_PIPE_III[3]              1.255    0.217    0.1649      0.1252  
Adder2_PIPE_II[24]             3.223    0.232    0.0641      0.1250  
Adder2_PIPE_II[29]             3.223    0.233    0.0640      0.1247  
Adder2_PIPE_II[30]             3.223    0.233    0.0640      0.1247  
Adder2_PIPE_II[21]             3.223    0.232    0.0638      0.1244  
Adder2_PIPE_II[22]             3.223    0.233    0.0637      0.1241  
Adder2_PIPE_II[23]             3.223    0.232    0.0637      0.1241  
Adder2_PIPE_II[26]             3.223    0.233    0.0637      0.1241  
Adder2_PIPE_II[27]             3.223    0.233    0.0636      0.1241  
Adder2_PIPE_II[19]             3.223    0.248    0.0636      0.1240  
PIPE_I_instruction[30]         3.345    0.238    0.0613      0.1240  
Adder2_PIPE_II[28]             3.223    0.233    0.0635      0.1237  
PIPE_I_instruction[9]          3.229    0.240    0.0633      0.1236  
Adder2_PIPE_II[25]             3.223    0.233    0.0633      0.1235  
PIPE_I_instruction[10]         3.229    0.251    0.0628      0.1227  
PIPE_I_instruction[26]         3.345    0.233    0.0604      0.1223  
PIPE_I_instruction[8]          3.229    0.249    0.0625      0.1221  
Adder2_PIPE_II[31]             3.223    0.233    0.0624      0.1216  
Adder2_PIPE_II[1]              3.223    0.231    0.0622      0.1213  
PIPE_II_next_PC[3]             1.255    0.216    0.1592      0.1208  
PIPE_III_Adder2[4]             1.857    0.197    0.1063      0.1195  
PIPE_I_instruction[0]          3.179    0.235    0.0617      0.1187  
PIPE_I_instruction[3]          3.179    0.237    0.0612      0.1176  
PIPE_III_ALU_zero              2.563    0.466    0.0757      0.1174  
PIPE_I_instruction[1]          3.128    0.230    0.0620      0.1174  
PIPE_IV_next_PC[5]             5.951    0.120    0.0303      0.1092  
