 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 19:30:34 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
Immediate_PIPE_II[2]           5.405    0.237    0.0638      0.2085  
Immediate_PIPE_II[21]          5.405    0.234    0.0638      0.2085  
Immediate_PIPE_II[23]          5.405    0.234    0.0638      0.2085  
Immediate_PIPE_II[24]          5.405    0.234    0.0638      0.2085  
Immediate_PIPE_II[27]          5.405    0.234    0.0637      0.2083  
Immediate_PIPE_II[20]          5.405    0.235    0.0635      0.2078  
Immediate_PIPE_II[28]          5.405    0.234    0.0635      0.2078  
PIPE_II_RS1[3]                 5.846    0.222    0.0587      0.2075  
Immediate_PIPE_II[9]           5.436    0.235    0.0631      0.2074  
Immediate_PIPE_II[25]          5.405    0.234    0.0634      0.2074  
PIPE_II_RS2[4]                 5.846    0.214    0.0583      0.2060  
PIPE_II_RS1[2]                 5.846    0.217    0.0581      0.2054  
PIPE_II_RS2[2]                 5.846    0.213    0.0580      0.2053  
Immediate_PIPE_II[13]          5.405    0.251    0.0628      0.2053  
Immediate_PIPE_II[17]          5.405    0.244    0.0627      0.2052  
PIPE_II_RS2[0]                 5.522    0.218    0.0611      0.2042  
Immediate_PIPE_II[12]          5.405    0.246    0.0622      0.2033  
Immediate_PIPE_II[19]          5.405    0.249    0.0621      0.2031  
PIPE_II_RS1[4]                 5.846    0.221    0.0571      0.2020  
PIPE_II_RS2[3]                 5.846    0.207    0.0567      0.2004  
PIPE_II_RS1[1]                 5.522    0.218    0.0596      0.1993  
PIPE_I_instruction[7]          5.282    0.238    0.0622      0.1986  
PIPE_I_instruction[24]         5.105    0.240    0.0627      0.1938  
PIPE_II_RS1[0]                 5.522    0.215    0.0578      0.1931  
RS1_PIPE_II[3]                 4.895    0.247    0.0646      0.1914  
IF_next_PC_PIPE_I[4]           3.280    0.234    0.0961      0.1908  
Immediate_PIPE_II[11]          4.637    0.243    0.0676      0.1896  
RS2_PIPE_II[3]                 4.895    0.231    0.0636      0.1882  
PIPE_II_RS2[1]                 5.522    0.208    0.0563      0.1881  
Adder2_PIPE_II[6]              3.223    0.241    0.0937      0.1827  
PIPE_II_ALUScr                28.297    0.017    0.0104      0.1780  
Immediate_PIPE_II[31]          4.637    0.234    0.0625      0.1753  
n3                             6.101    0.182    0.0474      0.1748  
Immediate_PIPE_II[10]          4.637    0.234    0.0617      0.1731  
Immediate_PIPE_II[6]           4.637    0.230    0.0610      0.1711  
Adder2_PIPE_II[7]              3.223    0.239    0.0864      0.1685  
PIPE_III_Adder2[3]             1.857    0.197    0.1494      0.1679  
PIPE_II_current_PC[3]          1.857    0.196    0.1438      0.1616  
Adder2_PIPE_II[8]              3.223    0.244    0.0819      0.1598  
PIPE_II_Funct3[1]              4.547    0.223    0.0573      0.1576  
PIPE_I_current_PC[5]           6.838    0.148    0.0378      0.1562  
Adder2_PIPE_II[9]              3.223    0.236    0.0748      0.1459  
Adder2_PIPE_II[11]             3.223    0.246    0.0724      0.1411  
Adder2_PIPE_II[10]             3.223    0.232    0.0694      0.1354  
PIPE_I_next_PC[3]              1.255    0.239    0.1770      0.1344  
PIPE_II_Funct3[0]              3.921    0.218    0.0566      0.1342  
Adder2_PIPE_II[16]             3.223    0.247    0.0672      0.1311  
Adder2_PIPE_II[14]             3.223    0.245    0.0671      0.1308  
PIPE_I_instruction[28]         3.345    0.250    0.0644      0.1303  
PIPE_I_instruction[25]         3.345    0.244    0.0640      0.1296  
PIPE_I_instruction[27]         3.345    0.238    0.0636      0.1286  
Adder2_PIPE_II[12]             3.223    0.245    0.0658      0.1282  
Adder2_PIPE_II[13]             3.223    0.250    0.0654      0.1275  
Adder2_PIPE_II[20]             3.223    0.234    0.0652      0.1272  
Adder2_PIPE_II[18]             3.223    0.248    0.0652      0.1271  
Adder2_PIPE_II[15]             3.223    0.244    0.0650      0.1268  
Adder2_PIPE_II[17]             3.223    0.241    0.0649      0.1266  
Adder_PIPE_III[3]              1.255    0.217    0.1653      0.1255  
PIPE_I_instruction[11]         3.229    0.239    0.0642      0.1253  
PIPE_I_instruction[29]         3.345    0.239    0.0619      0.1253  
Adder2_PIPE_II[29]             3.223    0.233    0.0640      0.1247  
Adder2_PIPE_II[30]             3.223    0.233    0.0640      0.1247  
Adder2_PIPE_II[21]             3.223    0.232    0.0638      0.1244  
Adder2_PIPE_II[22]             3.223    0.233    0.0637      0.1241  
Adder2_PIPE_II[23]             3.223    0.232    0.0637      0.1241  
Adder2_PIPE_II[24]             3.223    0.232    0.0637      0.1241  
Adder2_PIPE_II[26]             3.223    0.232    0.0637      0.1241  
Adder2_PIPE_II[27]             3.223    0.233    0.0636      0.1241  
Adder2_PIPE_II[19]             3.223    0.248    0.0636      0.1240  
PIPE_I_instruction[30]         3.345    0.238    0.0613      0.1240  
Adder2_PIPE_II[28]             3.223    0.233    0.0635      0.1237  
PIPE_I_instruction[9]          3.229    0.240    0.0633      0.1236  
Adder2_PIPE_II[25]             3.223    0.233    0.0633      0.1235  
PIPE_I_instruction[10]         3.229    0.251    0.0628      0.1227  
PIPE_I_instruction[26]         3.345    0.233    0.0604      0.1223  
PIPE_I_instruction[8]          3.229    0.249    0.0625      0.1221  
Adder2_PIPE_II[31]             3.223    0.233    0.0624      0.1216  
Adder2_PIPE_II[1]              3.223    0.231    0.0623      0.1214  
PIPE_II_next_PC[3]             1.255    0.216    0.1594      0.1210  
PIPE_III_Adder2[4]             1.857    0.197    0.1064      0.1196  
PIPE_III_ALU_zero              2.563    0.465    0.0760      0.1179  
PIPE_IV_next_PC[5]             5.951    0.120    0.0304      0.1093  
PIPE_III_next_PC[3]            1.255    0.196    0.1438      0.1091  
PIPE_III_Adder2[5]             1.857    0.195    0.0878      0.0987  
n5                             3.317    0.174    0.0487      0.0977  
RISC_V_add_instruction_memory[6]
                               9.296    0.085    0.0167      0.0941  
Adder_PIPE_III[4]              1.255    0.219    0.1184      0.0898  
IF_next_PC_PIPE_I[5]           3.280    0.180    0.0451      0.0896  
PIPE_III_Adder2[6]             1.857    0.198    0.0770      0.0865  
PIPE_II_current_PC[4]          1.857    0.173    0.0711      0.0798  
PIPE_III_Adder2[7]             1.857    0.194    0.0704      0.0791  
PIPE_IV_RegWrite              11.847    0.016    0.0104      0.0747  
PIPE_III_Adder2[8]             1.857    0.198    0.0662      0.0743  
PIPE_IV_ReadData[29]           1.889    0.250    0.0650      0.0743  
Adder_PIPE_III[5]              1.255    0.217    0.0973      0.0738  
PIPE_IV_ReadData[19]           1.889    0.249    0.0644      0.0736  
PIPE_IV_ReadData[16]           1.889    0.250    0.0643      0.0735  
PIPE_IV_ReadData[23]           1.889    0.242    0.0643      0.0735  
PIPE_IV_ReadData[20]           1.889    0.240    0.0641      0.0732  
PIPE_IV_ReadData[28]           1.889    0.245    0.0640      0.0731  
PIPE_IV_ReadData[22]           1.889    0.243    0.0637      0.0728  
PIPE_IV_ReadData[4]            1.889    0.244    0.0636      0.0727  
PIPE_IV_ReadData[30]           1.889    0.237    0.0636      0.0726  
